Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
X360,2009,Action,Activision,1.02,71,41,7.4,25
PC,2009,Action,Activision,0.05,66,13,8,19
X360,2008,Action,Activision,3.76,77,60,7.5,66
PSP,2008,Action,LucasArts,1.17,76,8,7.6,11
PC,2008,Action,LucasArts,0.04,78,14,7.7,35
PS3,2008,Action,Activision,1.03,77,36,7.7,30
DS,2008,Action,Activision,2.2,80,15,7.9,16
PS2,2008,Action,LucasArts,1.37,77,12,8.4,16
XOne,2015,Action,Warner Bros. Interactive Entertainment,0.65,70,17,6.7,44
PS4,2015,Action,Warner Bros. Interactive Entertainment,0.9,70,46,7,80
PC,2015,Action,Warner Bros. Interactive Entertainment,0.04,72,8,7.1,31
WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.52,71,5,8.1,14
3DS,2013,Adventure,Warner Bros. Interactive Entertainment,0.31,65,5,3.6,7
PSV,2013,Adventure,Warner Bros. Interactive Entertainment,0.13,64,5,6.6,8
3DS,2013,Action,Warner Bros. Interactive Entertainment,0.9,61,4,5.2,11
X360,2013,Action,Warner Bros. Interactive Entertainment,2.22,80,37,7.6,127
PS4,2013,Action,Warner Bros. Interactive Entertainment,1.62,83,22,7.7,262
PS3,2013,Action,Warner Bros. Interactive Entertainment,1.84,82,22,7.9,76
WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.74,82,8,8,71
PC,2013,Action,Warner Bros. Interactive Entertainment,0.17,78,7,8.1,124
XOne,2016,Action,Warner Bros. Interactive Entertainment,0.35,71,18,5.1,15
WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.24,69,4,6.8,15
PS4,2016,Action,Warner Bros. Interactive Entertainment,0.73,71,70,7,87
3DS,2016,Action,Warner Bros. Interactive Entertainment,0.19,60,4,7.1,15
PC,2011,Action,Disney Interactive Studios,0.03,73,11,6.6,17
X360,2011,Action,Disney Interactive Studios,1.03,73,54,7,31
Wii,2011,Action,Disney Interactive Studios,1.55,73,14,7,13
PS3,2011,Action,Disney Interactive Studios,0.95,73,42,7.1,34
3DS,2011,Action,Disney Interactive Studios,0.62,71,16,7.3,20
Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.69,70,15,6.8,6
X360,2009,Misc,Warner Bros. Interactive Entertainment,0.56,71,50,7.2,31
DS,2009,Misc,Warner Bros. Interactive Entertainment,0.45,80,8,7.5,6
PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.42,75,36,7.6,18
DS,2006,Action,LucasArts,1.07,47,9,5,38
GBA,2006,Action,LucasArts,0.09,55,5,7,6
X360,2006,Action,LucasArts,0.63,81,50,8,45
PC,2006,Action,Activision,0.02,86,20,8.2,64
XB,2006,Action,LucasArts,0.44,85,27,8.6,15
PSP,2006,Action,LucasArts,1.4,83,11,8.6,26
PS2,2006,Action,LucasArts,2.69,84,32,9,41
GC,2006,Action,LucasArts,0.97,84,25,9.1,16
3DS,2011,Action,LucasArts,1.13,67,25,6.1,31
PS3,2011,Action,LucasArts,1.16,76,36,7.3,34
PC,2011,Action,LucasArts,0.25,76,14,7.5,44
Wii,2011,Action,LucasArts,1.76,76,7,7.7,10
X360,2011,Action,LucasArts,1.48,75,43,7.8,42
DS,2007,Action,LucasArts,4.76,80,9,5.4,46
PS3,2007,Action,LucasArts,2.29,80,18,6.7,87
X360,2007,Action,LucasArts,2.57,80,24,7.4,114
Wii,2007,Action,LucasArts,5.64,80,17,8.9,62
XOne,2016,Action,Warner Bros. Interactive Entertainment,0.3,76,11,7,18
PS4,2016,Action,Warner Bros. Interactive Entertainment,0.7,78,61,7.5,91
WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.15,74,6,8,11
PS4,2014,Action,Warner Bros. Interactive Entertainment,0.6,72,47,6.6,88
XOne,2014,Action,Warner Bros. Interactive Entertainment,0.27,69,20,6.8,36
X360,2014,Action,Warner Bros. Interactive Entertainment,0.45,70,4,8.7,11
PSV,2012,Action,Warner Bros. Interactive Entertainment,0.28,54,8,5.6,35
3DS,2012,Action,Warner Bros. Interactive Entertainment,0.39,61,4,7.6,10
PC,2012,Action,Warner Bros. Interactive Entertainment,0.22,80,6,8.2,127
PS3,2012,Action,Warner Bros. Interactive Entertainment,1.05,82,16,8.3,85
X360,2012,Action,Warner Bros. Interactive Entertainment,1.23,80,49,8.5,73
PS3,2009,Adventure,Codemasters,0.1,17,11,1.7,37
X360,2009,Adventure,Codemasters,0.16,25,27,2.5,41
PS2,2004,Adventure,Vivendi Games,0.34,60,44,6.3,18
XB,2004,Adventure,Vivendi Games,0.17,62,49,6.4,13
PSP,2006,Puzzle,Sony Computer Entertainment,0.86,76,46,7.9,14
PS2,2004,Platform,Activision,0.64,63,25,5.7,12
XB,2004,Platform,Activision,0.12,70,17,7.2,5
GBA,2004,Platform,Activision,0.42,72,8,8,4
Wii,2008,Misc,Sega,0.17,70,47,6.6,11
PC,2016,Adventure,Square Enix,0.04,83,15,8.6,1620
PS4,2016,Adventure,Square Enix,0.4,85,23,8.6,672
XOne,2016,Adventure,Square Enix,0.13,85,4,8.7,123
PS2,2003,Adventure,Sony Computer Entertainment,0.07,61,31,7.7,9
DS,2005,Simulation,JoWood Productions,0.01,61,17,7.8,5
PS3,2013,Role-Playing,Square Enix,1.07,66,62,5.9,552
X360,2013,Role-Playing,Square Enix,0.27,69,21,6.6,222
DS,2008,Puzzle,Deep Silver,0.08,59,23,5.6,5
Wii,2008,Puzzle,Deep Silver,0.02,62,12,6.4,5
XB,2003,Sports,Microsoft Game Studios,0.29,80,41,9,9
Wii,2007,Shooter,Nintendo,4.98,68,34,7.1,47
X360,2008,Misc,Microsoft Game Studios,0.77,71,43,7.4,34
X360,2009,Misc,Microsoft Game Studios,0.55,70,22,7.6,7
PSV,2011,Platform,Sony Computer Entertainment,0.3,57,62,5.5,53
Wii,2009,Strategy,Rising Star Games,0.29,87,50,8.8,86
Wii,2008,Sports,Activision,0.09,70,8,8,6
DS,2008,Shooter,Destineer,0.04,68,15,7.3,8
PS3,2008,Platform,Sony Computer Entertainment,5.82,95,85,6.8,5311
PSP,2009,Platform,Sony Computer Entertainment,2.54,87,68,7.8,98
PS3,2011,Platform,Sony Computer Entertainment,3.39,91,86,8.4,657
PS4,2014,Platform,Sony Computer Entertainment,1.91,79,78,7.1,506
PS3,2012,Action,Sony Computer Entertainment,0.87,73,69,6.9,159
PSV,2012,Platform,Sony Computer Entertainment,1.25,88,71,8.6,348
GBA,2004,Action,Disney Interactive Studios,0.83,57,6,5,5
PC,2003,Simulation,Ubisoft,0.03,76,20,7.5,549
DS,2008,Strategy,THQ,0.09,80,32,8.7,27
PSP,2006,Platform,Sony Computer Entertainment,0.38,83,67,8.7,89
PSP,2008,Platform,Sony Computer Entertainment,0.35,85,55,8.4,44
X360,2012,Action,Warner Bros. Interactive Entertainment,0.48,70,64,7,260
PS3,2012,Action,Warner Bros. Interactive Entertainment,0.66,67,37,7.1,199
PS2,2007,Action,Warner Bros. Interactive Entertainment,0.38,38,10,3.9,7
Wii,2007,Action,Warner Bros. Interactive Entertainment,0.23,27,7,5.1,14
X360,2007,Action,Warner Bros. Interactive Entertainment,0.08,40,15,6.8,13
GC,2003,Platform,Warner Bros. Interactive Entertainment,0.17,64,6,5,4
PS2,2003,Platform,Warner Bros. Interactive Entertainment,0.5,51,9,7.5,6
PS,2001,Platform,Infogrames,0.12,72,12,8.8,25
PSP,2010,Role-Playing,Square Enix,0.32,53,45,5.5,21
3DS,2014,Role-Playing,Marvelous Entertainment,0.06,68,16,7.8,36
PS4,2014,Role-Playing,Square Enix,0.52,68,45,6.6,425
XOne,2014,Role-Playing,Square Enix,0.22,71,13,6.7,166
PC,2014,Role-Playing,Square Enix,0.03,73,36,6.9,583
PS3,2014,Role-Playing,Nippon Ichi Software,0.07,71,18,7.3,27
PSV,2014,Role-Playing,Nippon Ichi Software,0.08,72,28,8.3,35
PC,2010,Adventure,Deep Silver,0.11,77,24,7.9,27
DS,2005,Adventure,Konami Digital Entertainment,0.11,69,33,7.8,21
Wii,2008,Adventure,Konami Digital Entertainment,0.08,54,11,6,6
Wii,2010,Platform,Konami Digital Entertainment,0.12,68,38,8.7,18
GC,2002,Role-Playing,Activision,0.17,72,22,8,15
GC,2003,Role-Playing,Activision,0.06,68,25,9.1,14
DS,2006,Role-Playing,Ubisoft,0.12,68,44,8.2,32
X360,2007,Role-Playing,Microsoft Game Studios,0.9,78,68,8.3,432
PC,2010,Shooter,Capcom,0.03,63,15,6.3,87
PS3,2010,Shooter,Capcom,0.95,68,56,6.9,62
PS3,2013,Shooter,Capcom,0.21,61,30,5.5,102
X360,2013,Shooter,Capcom,0.12,58,43,5.8,142
PC,2013,Shooter,Capcom,0.04,61,17,6.2,210
X360,2006,Shooter,Capcom,1.34,79,76,7.1,187
PS3,2008,Shooter,Capcom,0.64,67,34,7,36
PC,2008,Action,Ubisoft,0.02,52,22,6,38
X360,2008,Action,Ubisoft,0.58,55,50,6.4,58
PS3,2008,Action,Ubisoft,0.5,54,30,6.9,28
PS2,2002,Misc,Pacific Century Cyber Works,0.26,46,14,8.4,11
X360,2010,Fighting,Konami Digital Entertainment,0.05,49,11,6.3,12
PS3,2010,Fighting,Konami Digital Entertainment,0.11,54,6,7.1,10
DS,2010,Role-Playing,Square Enix,0.15,80,8,8,13
GBA,2002,Role-Playing,Taito,0.05,76,12,8.3,8
GC,2001,Action,Nintendo,3.6,78,34,8.5,161
3DS,2013,Action,Nintendo,4.59,86,74,8.4,458
PSV,2012,Misc,Ubisoft,0.23,83,65,7.8,85
DS,2007,Role-Playing,Rising Star Games,0.24,70,25,7,24
DS,2008,Role-Playing,Rising Star Games,0.22,73,19,7.7,14
PS,1999,Role-Playing,Kadokawa Shoten,0.35,86,12,8.9,37
DS,2006,Role-Playing,Konami Digital Entertainment,0.23,82,39,7.8,25
GBA,2002,Role-Playing,Media Rings,0.19,79,20,7.8,8
DS,2005,Role-Playing,Rising Star Games,0.12,59,30,6.2,17
PSP,2009,Role-Playing,GungHo,0.24,80,26,7.7,47
PS,1998,Role-Playing,Kadokawa Shoten,0.55,78,15,9.1,35
DS,2008,Adventure,Rising Star Games,0.04,48,33,6.2,18
XB,2003,Shooter,Electronic Arts,0.11,64,27,8.2,11
PS2,2003,Shooter,Electronic Arts,0.19,62,19,8.3,7
PC,2009,Adventure,Daedalic,0.11,85,47,8.8,526
XB,2001,Racing,Eidos Interactive,0.15,65,21,7.7,6
Wii,2009,Shooter,Majesco Entertainment,0.08,31,6,5,11
PS2,2005,Platform,Activision,1.31,69,25,7.4,25
PS2,2008,Action,Activision,0.38,56,4,5.8,6
PS3,2008,Action,Activision,0.23,58,13,6.8,4
PC,2008,Action,Activision,0.01,58,6,8,4
DS,2005,Sports,Electronic Arts,0.12,66,9,6.3,12
XB,2005,Sports,Electronic Arts,1.86,86,39,6.7,41
PSP,2005,Sports,Electronic Arts,0.75,75,23,7.9,16
PS2,2005,Sports,Electronic Arts,4.91,88,29,8,121
GC,2005,Sports,Electronic Arts,0.57,86,21,8.5,11
PS3,2006,Sports,Electronic Arts,0.52,76,25,4.2,22
X360,2006,Sports,Electronic Arts,1.8,80,54,6,148
DS,2006,Sports,Electronic Arts,0.21,70,9,6.5,10
Wii,2006,Sports,Electronic Arts,0.49,81,35,8,16
PS2,2006,Sports,Electronic Arts,4.49,84,29,8.2,39
XB,2006,Sports,Electronic Arts,1.02,83,27,8.7,6
GC,2006,Sports,Electronic Arts,0.62,82,14,9.2,5
GBA,2006,Sports,Electronic Arts,0.03,68,4,9.3,4
PS3,2007,Sports,Electronic Arts,0.97,81,31,5.3,33
XB,2007,Sports,Electronic Arts,0.29,76,6,6,4
X360,2007,Sports,Electronic Arts,2.37,85,46,6.4,108
PSP,2007,Sports,Electronic Arts,0.71,75,10,6.8,8
Wii,2007,Sports,Electronic Arts,0.87,76,29,6.8,27
GC,2007,Sports,Electronic Arts,0.08,75,4,7,7
PS2,2007,Sports,Electronic Arts,2.57,78,11,7.8,17
PS3,2008,Sports,Electronic Arts,1.88,85,38,4.4,132
PSP,2008,Sports,Electronic Arts,0.71,68,8,6.5,4
PS2,2008,Sports,Electronic Arts,1.49,67,4,7,24
X360,2008,Sports,Electronic Arts,2.53,83,50,7,125
Wii,2008,Sports,Electronic Arts,0.83,82,19,7.2,22
X360,2009,Sports,Electronic Arts,2.83,85,58,6.1,90
PS3,2009,Sports,Electronic Arts,2.37,85,41,6.8,58
Wii,2009,Sports,Electronic Arts,0.72,77,23,7.2,24
X360,2010,Sports,Electronic Arts,2.69,84,47,5.7,120
PS3,2010,Sports,Electronic Arts,2.38,83,36,6.1,68
PS3,2011,Sports,Electronic Arts,2.25,79,31,5.5,56
X360,2011,Sports,Electronic Arts,2.69,78,55,5.9,94
PS3,2012,Sports,Electronic Arts,0.01,83,22,5.5,101
PS3,2012,Sports,Electronic Arts,2.56,83,22,5.5,101
X360,2012,Sports,Electronic Arts,2.86,81,36,5.8,179
WiiU,2012,Sports,Electronic Arts,0.23,75,9,6.7,30
PSV,2012,Sports,Electronic Arts,0.3,63,6,7.3,38
PS4,2014,Sports,Electronic Arts,2.19,81,37,6.1,208
XOne,2014,Sports,Electronic Arts,1.57,80,19,6.4,138
PS4,2015,Sports,Electronic Arts,3.24,83,37,5.9,180
XOne,2015,Sports,Electronic Arts,2.42,84,23,6.1,124
PS4,2016,Sports,Electronic Arts,1.75,82,35,4.9,83
XOne,2016,Sports,Electronic Arts,1.23,83,30,5.9,39
PS,2000,Sports,Electronic Arts,1.67,90,14,6.8,4
PS2,2000,Sports,Electronic Arts,1.5,91,25,7.7,7
PS2,2001,Sports,Electronic Arts,3.08,94,23,7.9,46
PS,2001,Sports,Electronic Arts,1.39,88,9,8,7
PS2,2002,Sports,Electronic Arts,4.14,95,25,7.7,65
XB,2002,Sports,Electronic Arts,0.71,92,16,8.3,16
GC,2002,Sports,Electronic Arts,0.43,92,13,8.5,17
GBA,2003,Sports,Electronic Arts,0.31,70,9,6.6,5
GC,2003,Sports,Electronic Arts,0.51,94,19,7.7,17
XB,2003,Sports,Electronic Arts,1.09,92,27,8.3,48
GBA,2004,Sports,Electronic Arts,0.39,79,9,7.6,5
XB,2004,Sports,Electronic Arts,1.72,91,39,7.6,26
DS,2004,Sports,Electronic Arts,0.26,68,25,7.7,7
PS2,2004,Sports,Electronic Arts,4.53,91,30,7.9,78
PS3,2013,Sports,Electronic Arts,1.87,76,19,4.1,91
PS4,2013,Sports,Electronic Arts,0.9,74,13,5.2,118
X360,2013,Sports,Electronic Arts,2.23,80,32,5.6,136
XOne,2013,Sports,Electronic Arts,0.81,73,18,5.9,111
3DS,2011,Sports,Electronic Arts,0.39,49,18,5.3,16
Wii,2009,Action,Sega,0.77,81,74,8.6,176
PC,2002,Action,Take-Two Interactive,0.04,88,27,9.1,863
PS2,2004,Action,Illusion Softworks,0.7,65,30,7.6,62
XB,2004,Action,Take-Two Interactive,0.23,66,33,7.7,22
PS3,2010,Action,Take-Two Interactive,1.49,75,61,7.7,297
X360,2010,Action,Take-Two Interactive,1.55,74,79,7.8,458
PC,2010,Action,Take-Two Interactive,0.4,77,46,7.9,1238
PC,2016,Action,Take-Two Interactive,0.19,63,29,3.2,881
XOne,2016,Action,Take-Two Interactive,0.62,67,20,4.6,274
PS4,2016,Action,Take-Two Interactive,1.81,68,66,5.1,1147
DS,2006,Strategy,Namco Bandai Games,0.02,59,8,7.1,11
PS2,2002,Role-Playing,Taito,0.07,74,24,7.5,12
DS,2008,Role-Playing,Konami Digital Entertainment,0.53,69,13,7.6,9
PC,2011,Role-Playing,Paradox Interactive,0.03,74,44,7.6,602
X360,2009,Role-Playing,Banpresto,0.3,69,49,7,57
PS2,2004,Role-Playing,505 Games,0.22,66,34,7,22
DS,2006,Puzzle,Nintendo,0.14,68,33,8.1,11
3DS,2011,Puzzle,Sunsoft,0.09,67,11,5.3,4
PC,2009,Simulation,Paradox Interactive,0.02,72,31,7.3,129
PS3,2010,Adventure,Namco Bandai Games,0.29,72,49,7.9,35
X360,2010,Adventure,Namco Bandai Games,0.19,74,46,8.1,24
PS3,2010,Sports,Take-Two Interactive,0.19,74,19,5.3,4
X360,2010,Sports,Take-Two Interactive,0.51,76,26,7.6,38
PC,2011,Sports,Take-Two Interactive,0.08,74,5,5.9,16
PS3,2011,Sports,Take-Two Interactive,0.2,72,13,6.3,9
X360,2011,Sports,Take-Two Interactive,0.45,69,27,6.8,24
PS3,2012,Sports,Take-Two Interactive,0.19,68,8,4.4,5
X360,2012,Sports,Take-Two Interactive,0.5,68,19,6.4,22
PS2,2005,Sports,Take-Two Interactive,1.48,82,19,7.4,20
XB,2005,Sports,Take-Two Interactive,0.56,81,25,8.2,17
X360,2006,Sports,Spike,0.37,66,22,3.9,37
PS2,2006,Sports,Spike,0.44,70,19,5.2,27
XB,2006,Sports,Take-Two Interactive,0.33,71,21,5.7,12
PS3,2007,Sports,Spike,0.25,74,19,4.7,7
X360,2007,Sports,Spike,0.72,79,31,7.1,34
PS3,2008,Sports,Bethesda Softworks,0.31,67,23,5.6,8
X360,2008,Sports,Bethesda Softworks,0.61,70,28,5.9,34
DS,2008,Sports,Take-Two Interactive,0.12,59,8,7,6
PS3,2009,Sports,Spike,0.17,61,19,4,6
Wii,2009,Sports,Take-Two Interactive,0.26,61,5,4.5,10
X360,2009,Sports,Spike,0.61,64,29,5.3,26
PS2,2005,Role-Playing,Tecmo Koei,0.12,77,41,7.3,12
PS2,2008,Role-Playing,Gust,0.2,70,12,8.2,17
PS2,2007,Role-Playing,Nippon Ichi Software,0.06,69,20,7.5,41
PSP,2008,Role-Playing,Nippon Ichi Software,0.1,41,19,5.3,37
PS2,2003,Action,Take-Two Interactive,1.28,76,47,8.3,136
XB,2004,Action,Take-Two Interactive,0.19,74,37,7.9,19
Wii,2007,Action,Take-Two Interactive,0.53,62,38,7.1,46
PS2,2007,Action,Take-Two Interactive,0.56,67,22,7.8,53
PSP,2007,Action,Take-Two Interactive,0.31,69,15,8.1,38
Wii,2009,Puzzle,Konami Digital Entertainment,0.16,74,16,7.3,6
PS2,2006,Action,Atari,0.05,69,39,7.2,31
DS,2006,Adventure,Zoo Digital Publishing,0.05,34,8,1.7,6
GBA,2004,Sports,Nintendo,0.45,84,38,8.6,14
GC,2003,Sports,Nintendo,1.53,81,49,8,56
3DS,2014,Sports,Nintendo,0.48,78,73,8.2,76
DS,2006,Sports,Nintendo,1.6,69,40,8,37
3DS,2011,Racing,Nintendo,12.66,85,73,8.2,632
WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599
DS,2005,Racing,Nintendo,23.21,91,64,8.6,464
Wii,2008,Racing,Nintendo,35.52,82,73,8.3,709
GBA,2001,Racing,Nintendo,5.47,93,24,8.3,108
WiiU,2015,Misc,Nintendo,1.58,66,66,6.5,279
GC,2002,Misc,Nintendo,2.47,70,26,7.4,74
GC,2003,Misc,Nintendo,2.08,69,33,8.2,57
GC,2004,Misc,Nintendo,1.65,71,33,7.9,51
GC,2005,Misc,Nintendo,1.57,64,25,7.9,53
Wii,2007,Misc,Nintendo,8.27,62,41,6.3,190
Wii,2012,Misc,Nintendo,3.13,73,45,6.8,155
GBA,2005,Misc,Nintendo,0.98,54,27,5.4,34
DS,2007,Misc,Nintendo,8.91,72,27,7.8,85
3DS,2013,Misc,Nintendo,1.92,57,47,6.3,117
3DS,2016,Misc,Nintendo,0.3,68,37,6.8,16
GBA,2004,Misc,Nintendo,0.69,62,35,4.9,11
GC,2004,Sports,Nintendo,1.22,80,43,8.5,48
Wii,2010,Sports,Nintendo,2.08,64,54,7.1,34
Wii,2007,Sports,Nintendo,2.58,79,47,8,124
Wii,2008,Sports,Nintendo,1.89,69,31,7.8,58
GC,2005,Sports,Nintendo,1.46,76,38,8.6,41
3DS,2012,Sports,Nintendo,0.95,69,58,6.9,110
WiiU,2015,Sports,Nintendo,0.44,58,58,5.3,133
GBA,2005,Sports,Nintendo,0.52,81,21,8,25
GBA,2004,Puzzle,Nintendo,1.17,81,43,8,31
DS,2006,Puzzle,Nintendo,1.19,76,32,7.9,17
DS,2010,Puzzle,Nintendo,2.67,79,51,7.7,18
WiiU,2015,Puzzle,Nintendo,0.01,70,26,7.4,72
3DS,2015,Puzzle,Nintendo,0.06,70,15,7.5,48
PS4,2016,Sports,FuRyu Corporation,0.02,49,15,6,29
PS,2001,Adventure,Take-Two Interactive,0.11,64,4,6.1,16
WiiU,2012,Action,Ubisoft,0.12,50,10,5,25
X360,2012,Action,Ubisoft,0.02,62,11,7.3,12
GC,2005,Fighting,Electronic Arts,0.38,54,19,5.7,24
PS2,2005,Fighting,Electronic Arts,0.77,53,30,6.3,46
DS,2005,Fighting,Electronic Arts,0.08,34,6,6.5,16
XB,2005,Fighting,Electronic Arts,0.28,58,34,7.5,20
PSP,2005,Fighting,Electronic Arts,0.32,58,15,8.7,30
DS,2009,Fighting,THQ,0.41,61,4,2.8,4
Wii,2009,Fighting,THQ,0.36,49,16,6.2,14
X360,2010,Action,THQ,0.15,55,10,6.3,6
DS,2007,Misc,Konami Digital Entertainment,0.12,61,17,4.9,7
PS3,2011,Fighting,Capcom,1.34,84,56,7.3,147
Wii,2006,Role-Playing,Activision,0.4,73,31,7.3,29
PSP,2006,Role-Playing,Activision,0.37,81,19,7.5,14
X360,2006,Role-Playing,Activision,2.5,82,68,7.5,120
PS3,2006,Role-Playing,Activision,0.38,78,35,7.6,49
PC,2006,Role-Playing,Activision,0.01,82,22,8,52
PS2,2006,Role-Playing,Activision,0.82,81,29,8.2,33
Wii,2009,Role-Playing,Activision,0.32,50,8,5.2,16
DS,2009,Role-Playing,Activision,0.2,65,7,6.7,9
PS3,2009,Role-Playing,Activision,0.73,74,48,7.3,51
X360,2009,Role-Playing,Activision,0.9,73,75,7.3,82
X360,2007,Role-Playing,Microsoft Game Studios,2.91,91,74,8.7,1692
PC,2008,Role-Playing,Electronic Arts,0.67,89,45,8.6,2386
PC,2010,Role-Playing,Electronic Arts,0.39,94,55,8.8,3559
X360,2010,Role-Playing,Electronic Arts,3.1,96,98,8.9,3143
PS3,2011,Role-Playing,Electronic Arts,1.45,94,62,8.5,1081
PC,2012,Role-Playing,Electronic Arts,0.97,89,23,5.5,5926
PS3,2012,Role-Playing,Electronic Arts,1.42,93,30,5.5,1849
X360,2012,Role-Playing,Electronic Arts,3.04,93,74,5.8,3725
PS,2001,Sports,Activision,0.54,80,15,8.6,16
PS2,2002,Sports,Activision,0.46,76,22,9.1,7
XB,2001,Shooter,Take-Two Interactive,1.22,89,24,8.3,61
PS2,2001,Shooter,Take-Two Interactive,3.31,80,21,8.5,86
PC,2001,Shooter,Take-Two Interactive,0.02,89,32,9.1,1016
GBA,2003,Shooter,Take-Two Interactive,0.03,78,33,7.8,13
PS2,2003,Shooter,Take-Two Interactive,1.34,73,27,8.2,63
XB,2003,Shooter,Take-Two Interactive,0.64,84,34,8.4,49
PC,2003,Shooter,Take-Two Interactive,0.03,86,46,9,802
PC,2012,Shooter,Take-Two Interactive,0.43,87,30,7.6,2202
X360,2012,Shooter,Take-Two Interactive,1.62,86,80,7.8,869
PS3,2012,Shooter,Take-Two Interactive,1.85,87,31,7.8,790
PS2,2003,Platform,Capcom,0.21,83,46,7.8,13
PS2,2001,Platform,Capcom,0.77,84,33,8.7,16
PC,2002,Strategy,JoWood Productions,0.02,59,11,7.7,9
X360,2011,Racing,Evolved Games,0.07,47,4,8.6,9
GC,2004,Misc,Mad Catz,0.2,42,8,6.8,9
PS2,2001,Shooter,Virgin Interactive,0.17,80,19,8.3,11
XB,2002,Simulation,Microsoft Game Studios,1.13,87,32,8,47
XB,2004,Simulation,Microsoft Game Studios,0.36,81,66,7.5,23
DS,2006,Simulation,Majesco Entertainment,0.03,66,16,4.5,4
GC,2003,Role-Playing,Ubisoft,0.05,51,6,8,7
PS,1998,Shooter,Electronic Arts,2.67,92,17,8.6,80
PC,2010,Shooter,Electronic Arts,0.49,72,26,6.4,516
X360,2010,Shooter,Electronic Arts,2.61,74,71,6.7,288
PS3,2010,Shooter,Electronic Arts,2.81,75,56,7.5,286
GC,2005,Shooter,Electronic Arts,0.25,71,22,7.9,14
PSP,2006,Shooter,Electronic Arts,2.65,71,24,7.9,47
PSP,2007,Shooter,Electronic Arts,1.15,69,20,7.3,30
Wii,2007,Shooter,Electronic Arts,0.41,73,37,7.6,82
X360,2007,Shooter,Electronic Arts,1.1,73,54,6.7,77
PC,2007,Shooter,Electronic Arts,0.05,78,38,7.3,204
PS3,2007,Shooter,Electronic Arts,1.21,75,16,7.6,39
XB,2005,Shooter,Electronic Arts,0.53,72,42,7,15
XB,2002,Shooter,Electronic Arts,1.49,81,18,6.9,23
GC,2002,Shooter,Electronic Arts,0.59,80,16,7.9,16
PS2,2002,Shooter,Electronic Arts,6.83,88,29,8.5,135
GBA,2003,Shooter,Electronic Arts,0.15,80,19,7.2,12
XB,2003,Shooter,Electronic Arts,1.17,65,23,5.8,28
GC,2003,Shooter,Electronic Arts,0.42,68,24,6.4,13
PS2,2003,Shooter,Electronic Arts,5.13,68,30,7.6,100
PS,2000,Shooter,Electronic Arts,0.97,86,16,9,44
GBA,2002,Shooter,Zoo Digital Publishing,0.08,46,5,1.7,11
PS2,2007,Shooter,Electronic Arts,0.03,63,29,6.1,34
Wii,2007,Shooter,Electronic Arts,0.09,56,29,7,24
PC,2012,Action,Electronic Arts,0.33,55,30,5.4,599
X360,2012,Action,Electronic Arts,1.15,53,43,5.4,437
PS3,2012,Action,Electronic Arts,1.41,55,22,6,250
PC,2006,Strategy,Sega,0.1,88,39,8.9,648
PS3,2011,Action,Sony Computer Entertainment,0.28,61,41,6.5,17
PSP,2005,Adventure,Sony Computer Entertainment,0.81,66,43,8.7,52
GC,2004,Platform,Capcom,0.42,81,32,8.8,17
PS2,2004,Platform,Capcom,0.59,81,26,9,20
XB,2005,Platform,Capcom,0.13,80,12,9.2,5
GBA,2003,Misc,Capcom,0.11,54,25,8.3,8
GBA,2001,Role-Playing,Capcom,0.42,79,10,8.9,24
GBA,2002,Action,Ubisoft,0.31,81,15,9,21
PS4,2016,Platform,Capcom,0.08,77,22,6.1,55
3DS,2016,Platform,Capcom,0.21,77,27,7.1,26
PS,2000,Adventure,Capcom,0.42,76,10,8.8,29
PSP,2005,Platform,Capcom,0.31,79,34,8.3,44
GC,2003,Platform,Capcom,0.17,65,28,7.6,13
PSP,2006,Platform,Capcom,0.14,82,28,7.5,36
GC,2006,Misc,Capcom,0.13,75,23,9.2,12
PS2,2004,Role-Playing,Capcom,0.18,69,27,7.1,18
GC,2004,Role-Playing,Capcom,0.12,67,21,7.3,12
PS,2000,Platform,Capcom,0.75,76,10,8.9,55
PS,2001,Action,Capcom,0.42,65,14,6.8,44
PS2,2003,Action,Capcom,0.58,58,30,5.1,38
PS2,2004,Platform,Capcom,0.29,68,23,8.5,63
GBA,2002,Platform,Capcom,0.55,82,17,8.9,31
GBA,2003,Platform,Capcom,0.43,81,17,8.6,18
GBA,2004,Platform,Capcom,0.22,77,21,9,22
GBA,2005,Platform,Capcom,0.11,77,17,9.1,21
DS,2010,Platform,Capcom,0.31,78,15,8.9,39
DS,2006,Platform,Capcom,0.28,76,37,8.3,32
DS,2007,Platform,Capcom,0.33,78,27,8.6,32
PS3,2010,Action,THQ,0.15,43,5,4.2,6
X360,2010,Action,THQ,0.12,33,7,4.3,6
PS2,2002,Shooter,Infogrames,0.5,50,19,7.3,6
XB,2004,Shooter,Vivendi Games,0.25,73,47,8,8
PC,2009,Strategy,505 Games,0.03,80,22,8.1,136
PC,2011,Strategy,1C Company,0.05,77,21,8.2,93
PC,2011,Strategy,Unknown,0.04,68,19,4.9,35
