Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
XOne,2014,Action,Ubisoft,3.5,72,59,4.1,1005
PS4,2014,Action,Ubisoft,3.96,70,40,4.9,2050
PS4,2016,Racing,505 Games,0.06,73,35,6.2,70
XOne,2016,Racing,505 Games,0.02,63,9,6.7,27
PSP,2006,Role-Playing,Ubisoft,0.03,48,35,4.9,18
PS2,2004,Action,Sega,0.09,54,29,6.9,7
GBA,2003,Action,THQ,0.09,85,37,8.6,18
Wii,2009,Action,D3Publisher,0.11,48,17,3.5,4
PS2,2009,Action,D3Publisher,0.11,56,4,5,4
X360,2012,Action,Capcom,0.24,71,54,6.5,131
PS3,2012,Action,Capcom,0.4,71,39,7.4,169
PS2,2004,Misc,Atari,0.4,66,12,4.3,6
PSP,2007,Misc,Atari,0.09,64,17,6,4
DS,2009,Role-Playing,Gust,0.12,70,11,6.7,15
PS3,2012,Role-Playing,Tecmo Koei,0.26,70,17,6.6,120
PS2,2005,Role-Playing,Tecmo Koei,0.06,68,34,7.8,14
PS2,2004,Role-Playing,Tecmo Koei,0.15,74,38,7.7,38
PS3,2014,Role-Playing,Tecmo Koei,0.18,76,26,7.7,44
PS4,2015,Role-Playing,Tecmo Koei,0.12,75,32,8.1,47
PS3,2010,Role-Playing,Nippon Ichi Software,0.42,74,19,6.7,109
PS2,2004,Sports,Sony Computer Entertainment,0.27,61,57,7.2,13
GBA,2005,Puzzle,Atari,0.03,62,10,7.5,6
X360,2010,Shooter,Majesco Entertainment,0.04,38,8,1.7,10
3DS,2013,Action,Screenlife,0.42,46,22,4.5,34
PS2,2001,Racing,Sony Computer Entertainment,2.41,82,16,8.4,53
PS2,2002,Racing,THQ,2.18,82,26,8.9,28
PS2,2004,Racing,SouthPeak Games,1.2,78,37,8.4,16
PSP,2005,Racing,SouthPeak Games,0.57,63,32,7.8,16
GC,2003,Racing,Acclaim Entertainment,0.28,70,18,9,4
PS2,2002,Racing,Capcom,0.39,66,20,7.5,13
DS,2008,Role-Playing,Rising Star Games,0.24,71,29,7.4,13
Wii,2006,Adventure,THQ,0.28,56,15,5.8,8
PSP,2006,Adventure,THQ,0.11,57,9,6.3,10
DS,2006,Adventure,THQ,0.33,64,9,6.4,7
GC,2006,Adventure,THQ,0.5,60,10,6.5,4
3DS,2016,Action,Yacht Club Games,0.01,77,20,8.4,62
XB,2001,Action,Microsoft Game Studios,0.24,52,26,8.5,14
Wii,2011,Adventure,Telltale Games,0.05,66,7,4.1,9
PS3,2011,Adventure,Telltale Games,0.09,66,5,6.8,51
GC,2003,Sports,Infogrames,0.13,70,4,9.4,5
Wii,2008,Sports,Atari,0.04,37,4,7.8,5
PS2,2004,Fighting,Eidos Interactive,0.28,46,23,4.7,10
XB,2003,Fighting,Eidos Interactive,0.17,50,15,5,7
PS2,2003,Fighting,Eidos Interactive,0.6,51,24,7.8,29
GC,2004,Shooter,Empire Interactive,0.05,35,11,2,9
PS2,2004,Shooter,Empire Interactive,1.15,43,5,3.4,13
XB,2004,Shooter,Empire Interactive,0.18,35,20,5.9,9
PS3,2008,Racing,THQ,0.21,61,21,5,11
X360,2008,Racing,THQ,0.2,65,35,7.1,18
X360,2009,Action,Activision,0.24,60,16,5.2,9
DS,2009,Action,Activision,1.38,60,6,6.7,7
Wii,2009,Action,Activision,0.66,62,12,7.2,11
PS3,2009,Action,Activision,0.23,63,10,8.2,5
PS2,2001,Role-Playing,Virgin Interactive,1.24,87,29,8.3,90
GC,2002,Role-Playing,Virgin Interactive,0.14,79,10,7.7,22
XB,2002,Role-Playing,Virgin Interactive,0.2,83,25,8.3,26
GBA,2004,Role-Playing,"Destination Software, Inc",0.03,76,17,6.5,11
XB,2004,Role-Playing,Acclaim Entertainment,0.26,77,44,7.9,16
PS2,2004,Role-Playing,Interplay,0.68,78,44,8.7,54
PS,2000,Action,Take-Two Interactive,0.18,68,10,5.3,4
Wii,2007,Sports,Zoo Digital Publishing,0.02,19,6,2.8,25
X360,2009,Misc,Activision,0.79,76,52,5,30
PS3,2009,Misc,Activision,0.74,76,45,5.7,9
Wii,2009,Misc,Activision,0.97,79,20,6.6,15
DS,2009,Misc,Activision,0.43,65,18,7,4
DS,2008,Shooter,D3Publisher,0.08,83,38,8.1,27
X360,2008,Platform,Microsoft Game Studios,0.01,77,17,8.2,70
GBA,2003,Platform,THQ,0.33,72,21,8.1,18
GBA,2005,Racing,THQ,0.1,68,22,5.9,9
GBA,2002,Misc,Universal Interactive,0.56,47,5,7,4
Wii,2006,Action,THQ,0.04,65,15,5.7,7
PS2,2006,Action,THQ,0.09,62,13,8.7,10
PS2,2007,Role-Playing,Rising Star Games,0.13,60,6,8.8,44
Wii,2008,Role-Playing,Rising Star Games,0.07,50,22,8.1,24
GBA,2002,Sports,Sega,0.13,80,16,7.8,5
X360,2009,Sports,XS Games,0.21,63,4,5.8,5
PS2,2001,Sports,THQ,0.28,57,11,5.8,4
GC,2006,Role-Playing,Unknown,0.1,75,21,8.9,23
GC,2003,Role-Playing,Nintendo,0.27,80,48,9,59
GBA,2005,Action,Electronic Arts,0.17,61,5,6.9,9
XB,2005,Action,Electronic Arts,0.21,65,56,7.1,21
GC,2005,Action,Electronic Arts,0.15,66,38,7.2,10
PS2,2005,Action,Electronic Arts,0.56,64,41,7.3,70
PC,2009,Action,Eidos Interactive,0.32,91,29,8.7,1736
X360,2009,Action,Eidos Interactive,3.48,92,78,8.7,1080
PS3,2009,Action,Eidos Interactive,4.23,91,70,8.9,1122
PC,2011,Action,Warner Bros. Interactive Entertainment,0.53,91,27,8.6,1847
PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,42,8.6,2162
X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94,87,8.7,1472
PC,2015,Action,Warner Bros. Interactive Entertainment,0.13,70,14,2.5,1967
XOne,2015,Action,Warner Bros. Interactive Entertainment,1.49,85,16,6.6,694
PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95,87,89,7.6,2679
WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,68,5,7.4,127
PC,2013,Action,Warner Bros. Interactive Entertainment,0.31,74,17,7.5,1170
X360,2013,Action,Warner Bros. Interactive Entertainment,1.88,74,46,7.5,685
PS3,2013,Action,Warner Bros. Interactive Entertainment,2.29,76,46,7.7,668
3DS,2013,Action,Warner Bros. Interactive Entertainment,0.27,68,7,6.8,38
PSV,2013,Action,Warner Bros. Interactive Entertainment,0.42,61,38,6.8,106
PS4,2016,Action,Warner Bros. Interactive Entertainment,0.3,75,59,7.3,89
GC,2003,Action,Kemco,0.08,29,14,3.2,19
XB,2003,Action,Kemco,0.11,25,13,3.6,18
XOne,2016,Action,Warner Bros. Interactive Entertainment,0.11,77,6,8.2,43
PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,73,28,8.5,79
GBA,2003,Action,Ubisoft,0.07,63,12,6.8,4
XB,2003,Action,Ubisoft,0.11,67,17,7.7,6
PS2,2003,Action,Ubisoft,0.35,63,21,8.3,14
DS,2010,Action,Warner Bros. Interactive Entertainment,0.29,74,14,8,8
GC,2001,Adventure,Ubisoft,0.26,70,17,5.8,16
PS2,2001,Adventure,Ubisoft,0.55,68,19,6.7,12
GC,2005,Strategy,Nintendo,0.4,76,43,8.8,18
Wii,2007,Strategy,Nintendo,0.34,75,38,7.6,45
PS,1994,Fighting,Sony Computer Entertainment,1.27,69,4,6.3,4
PS2,2004,Action,Namco Bandai Games,0.03,48,9,8.7,7
PS2,2003,Shooter,Atari,0.03,73,17,9,5
X360,2008,Fighting,505 Games,0.09,71,22,6.6,8
PS3,2013,Role-Playing,Nippon Ichi Software,0.02,69,22,7.9,25
PC,2016,Strategy,Nordic Games,0.01,71,15,7.1,71
PS4,2016,Shooter,Take-Two Interactive,0.26,68,55,6.8,402
PC,2016,Shooter,Take-Two Interactive,0.08,69,34,6.9,400
XOne,2016,Shooter,Take-Two Interactive,0.15,71,20,7.2,171
PC,2016,Shooter,Electronic Arts,0.38,88,54,7.6,1137
XOne,2016,Shooter,Electronic Arts,2.25,87,37,8.2,440
PS4,2016,Shooter,Electronic Arts,4.08,88,31,8.4,809
PC,2002,Shooter,Electronic Arts,0.03,89,27,8.6,327
PC,2005,Shooter,Electronic Arts,0.08,91,55,8.4,837
XB,2005,Shooter,Electronic Arts,0.56,80,49,8.2,29
PS2,2005,Shooter,Electronic Arts,0.44,80,42,8.5,65
X360,2006,Shooter,Electronic Arts,0.41,77,54,7.3,79
